Year,State,Electoral_Votes,Winner,Winner_EV,Runner_Up,Runner_Up_EV,Total_EV_Cast,Notes,Winner_Party,RunnerUp_Party,Population,Population_Per_EV
1789,Connecticut,7,George Washington,7,,0,69,Each elector had 2 votes,,,,
1789,Delaware,3,George Washington,3,,0,69,Each elector had 2 votes,,,,
1789,Georgia,5,George Washington,3,,0,69,2 electors did not vote,,,,
1789,Maryland,6,George Washington,6,,0,69,2 electors did not vote,,,,
1789,Massachusetts,10,George Washington,10,,0,69,Included Maine district,,,,
1789,New Hampshire,5,George Washington,5,,0,69,Each elector had 2 votes,,,,
1789,New Jersey,6,George Washington,6,,0,69,Each elector had 2 votes,,,,
1789,New York,0,No Vote,0,,0,69,Legislature deadlocked,Did Not Vote,Did Not Vote,,
1789,North Carolina,0,Not Voting,0,,0,69,Had not ratified Constitution,Did Not Vote,Did Not Vote,,
1789,Pennsylvania,10,George Washington,10,,0,69,Each elector had 2 votes,,,,
1789,Rhode Island,0,Not Voting,0,ß,0,69,Had not ratified Constitution,Did Not Vote,Did Not Vote,,
1789,South Carolina,7,George Washington,7,,0,69,Each elector had 2 votes,,,,
1789,Virginia,10,George Washington,10,,0,69,2 electors did not vote,,,,
1792,Connecticut,9,George Washington,9,,0,132,All electors unanimous for Washington,,,240557.0,26728.555555555555
1792,Delaware,3,George Washington,3,,0,132,All electors unanimous for Washington,,,60131.0,20043.666666666668
1792,Georgia,4,George Washington,4,,0,132,All electors unanimous for Washington,,,98576.0,24644.0
1792,Kentucky,4,George Washington,4,,0,132,New state admitted 1792,,,103133.0,25783.25
1792,Maryland,8,George Washington,8,,0,132,2 electors did not vote,,,324092.0,40511.5
1792,Massachusetts,16,George Washington,16,,0,132,Included Maine district,,,387599.0,24224.9375
1792,New Hampshire,6,George Washington,6,,0,132,All electors unanimous for Washington,,,150280.0,25046.666666666668
1792,New Jersey,7,George Washington,7,,0,132,All electors unanimous for Washington,,,189541.0,27077.28571428572
1792,New York,12,George Washington,12,,0,132,All electors unanimous for Washington,,,389906.0,32492.166666666668
1792,North Carolina,12,George Washington,12,,0,132,All electors unanimous for Washington,,,410621.0,34218.416666666664
1792,Pennsylvania,15,George Washington,15,,0,132,All electors unanimous for Washington,,,468007.0,31200.466666666667
