Year,State,Electoral_Votes,Winner,Winner_EV,Runner_Up,Runner_Up_EV,Total_EV_Cast,Notes
1789,Connecticut,7,George Washington,7,,,69,Each elector had 2 votes
1789,Delaware,3,George Washington,3,,,69,Each elector had 2 votes
1789,Georgia,3,George Washington,3,,,69,2 electors did not vote
1789,Maryland,8,George Washington,6,,,69,2 electors did not vote
1789,Massachusetts,10,George Washington,10,,,69,Included Maine district
1789,New Hampshire,5,George Washington,5,,,69,Each elector had 2 votes
1789,New Jersey,6,George Washington,6,,,69,Each elector had 2 votes
1789,New York,0,No Vote,0,,,69,Legislature deadlocked
1789,North Carolina,0,Not Voting,0,,,69,Had not ratified Constitution
1789,Pennsylvania,10,George Washington,10,,,69,Each elector had 2 votes
1789,Rhode Island,0,Not Voting,0,,,69,Had not ratified Constitution
1789,South Carolina,7,George Washington,7,,,69,Each elector had 2 votes
1789,Virginia,12,George Washington,10,,,69,2 electors did not vote
1789,Vermont,0,Not a State,0,,,69,Became state in 1791

1792,Connecticut,9,George Washington,9,,,132,All electors unanimous for Washington
1792,Delaware,3,George Washington,3,,,132,All electors unanimous for Washington
1792,Georgia,4,George Washington,4,,,132,All electors unanimous for Washington
1792,Kentucky,4,George Washington,4,,,132,New state admitted 1792
1792,Maryland,10,George Washington,8,,,132,2 electors did not vote
1792,Massachusetts,16,George Washington,16,,,132,Included Maine district
1792,New Hampshire,6,George Washington,6,,,132,All electors unanimous for Washington
1792,New Jersey,7,George Washington,7,,,132,All electors unanimous for Washington
1792,New York,12,George Washington,12,,,132,All electors unanimous for Washington
1792,North Carolina,12,George Washington,12,,,132,All electors unanimous for Washington
1792,Pennsylvania,15,George Washington,15,,,132,All electors unanimous for Washington
1792,Rhode Island,4,George Washington,4,,,132,All electors unanimous for Washington
1792,South Carolina,8,George Washington,8,,,132,All electors unanimous for Washington
1792,Vermont,4,George Washington,3,,,132,1 elector did not vote
1792,Virginia,21,George Washington,21,,,132,All electors unanimous for Washington

1796,Connecticut,9,John Adams,9,Thomas Jefferson,0,138,Adams Federalist
1796,Delaware,3,John Adams,3,Thomas Jefferson,0,138,Adams Federalist
1796,Georgia,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican
1796,Kentucky,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican
1796,Maryland,10,John Adams,7,Thomas Jefferson,4,138,Split vote
1796,Massachusetts,16,John Adams,16,Thomas Jefferson,0,138,Adams home state
1796,New Hampshire,6,John Adams,6,Thomas Jefferson,0,138,Adams Federalist
1796,New Jersey,7,John Adams,7,Thomas Jefferson,0,138,Adams Federalist
1796,New York,12,John Adams,12,Thomas Jefferson,0,138,Adams Federalist
1796,North Carolina,12,Thomas Jefferson,11,John Adams,1,138,Split vote
1796,Pennsylvania,15,Thomas Jefferson,14,John Adams,1,138,Split vote
1796,Rhode Island,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist
1796,South Carolina,8,Thomas Jefferson,8,John Adams,0,138,Jefferson Democratic-Republican
1796,Tennessee,3,Thomas Jefferson,3,John Adams,0,138,New state admitted 1796
1796,Vermont,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist
1796,Virginia,21,Thomas Jefferson,20,John Adams,1,138,Jefferson home state

1800,Connecticut,9,John Adams,9,Thomas Jefferson,0,138,Adams Federalist
1800,Delaware,3,John Adams,3,Thomas Jefferson,0,138,Adams Federalist
1800,Georgia,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican
1800,Kentucky,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican
1800,Maryland,10,John Adams,5,Thomas Jefferson,5,138,Split vote
1800,Massachusetts,16,John Adams,16,Thomas Jefferson,0,138,Adams home state
1800,New Hampshire,6,John Adams,6,Thomas Jefferson,0,138,Adams Federalist
1800,New Jersey,7,John Adams,7,Thomas Jefferson,0,138,Adams Federalist
1800,New York,12,Thomas Jefferson,12,John Adams,0,138,Jefferson Democratic-Republican
1800,North Carolina,12,Thomas Jefferson,8,John Adams,4,138,Split vote
1800,Pennsylvania,15,Thomas Jefferson,8,John Adams,7,138,Split vote
1800,Rhode Island,4,John Adams,4,Thomas Jefferson,0,138,Split vote
1800,South Carolina,8,Thomas Jefferson,8,John Adams,0,138,Jefferson Democratic-Republican
1800,Tennessee,3,Thomas Jefferson,3,John Adams,0,138,Jefferson Democratic-Republican
1800,Vermont,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist
1800,Virginia,21,Thomas Jefferson,21,John Adams,0,138,Jefferson home state

1804,Connecticut,9,Thomas Jefferson,0,Charles Pinckney,9,176,12th Amendment in effect
1804,Delaware,3,Thomas Jefferson,0,Charles Pinckney,3,176,Federalist
1804,Georgia,6,Thomas Jefferson,6,Charles Pinckney,0,176,Democratic-Republican
1804,Kentucky,8,Thomas Jefferson,8,Charles Pinckney,0,176,Democratic-Republican
1804,Maryland,11,Thomas Jefferson,9,Charles Pinckney,2,176,Split vote
1804,Massachusetts,19,Thomas Jefferson,0,Charles Pinckney,19,176,Federalist
1804,New Hampshire,7,Thomas Jefferson,0,Charles Pinckney,7,176,Federalist
1804,New Jersey,8,Thomas Jefferson,8,Charles Pinckney,0,176,Democratic-Republican
1804,New York,19,Thomas Jefferson,19,Charles Pinckney,0,176,Democratic-Republican
1804,North Carolina,14,Thomas Jefferson,14,Charles Pinckney,0,176,Democratic-Republican
1804,Ohio,3,Thomas Jefferson,3,Charles Pinckney,0,176,New state admitted 1803
