State,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
Alabama,0,0,0,0,0,0,0,0,127901,309527,590756,771623,964201,1155684,1342844,1513401,1699700,1828697,1887203,1828697,1996992,2138093,2262505,2387125,2512564,2646248,2825525,3061743,3266740,3426861,3594978,3893888,4062608,4138620,4219488,4325455,4447100,4540321,4663111,4779736,4833722,5024279,5344504,5689200,5893881,6080474,6267007,6461417,6646144,6828065,7055336,7334334,7665570,8011845,8336104,8547203,8826017,9047527,9295970,9571550
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63592,55036,59278,64356,72524,79331,128643,226167,300382,391361,452308,550043,626932,665384,698845,718871,741894,764561,790957,823401,874372,920710,984203,1092191,1143756,1216940,1360301,1465972,1631574
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9658,40440,88243,113916,144862,189548,228298,276013,370126,499261,611580,739543,892592,1075325,1277663,1465521,1752122,1950081,2294306,2614380,3033011,3386917,3874486,4228884,4542785,4890061,5167093,5456453,5700671,5959283,6214888,6553255,6916180,7303398,7640796,8024554,8611617,9237279,9995915
Arkansas,0,0,0,0,0,0,0,14273,30388,77174,136602,209897,273117,353038,426151,508431,581002,648329,711945,720230,802525,889025,960280,1016411,1128211,1262505,1396927,1544320,1686880,1854482,2020616,2158789,2254435,2377529,2452975,2551339,2621073,2736210,2786272,2832961,2949131,3067158,3290914,3521336,3661544,3793832,3926122,4043587,4175477,4304228,4447100,4584548,4741666,4900544,5025823,5116884,5241448,5363105,5540921,5773590
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92597,255122,507067,560247,692231,813499,941086,1069100,1208130,1342529,1485053,1677773,1912952,2186352,2646697,3220948,3903405,4594394,5278150,5946850,6677251,7380990,8242721,9129037,9859456,10586223,11859850,13471100,15374000,16573000,17811000,19057500,20163184,21493453,22679673,23780387,24894380,26148019,27296173,28995881,30875589,32536301,34003284,36969200,38332521,39283497
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34277,39864,34277,46989,70792,112099,160282,252199,359263,470053,583888,702386,851781,997024,1138917,1224725,1327396,1432088,1535461,1589109,1658238,1707618,1743692,1789564,1913552,2090722,2307398,2523904,2691865,2893957,3107112,3306061,3470110,3656777,3827810,4056133,4338801,4598628,4876457,5197580,5448819,5758736,6000647,6190099
Connecticut,237946,251002,264652,278514,293132,308419,324637,341827,275248,289675,305465,321848,339118,370792,407694,453504,504530,561098,618457,676489,734511,792814,851293,911674,973212,1034804,1097229,1159745,1220621,1289172,1359139,1431469,1518339,1601789,1680114,1762184,1844563,1926963,2010618,2097551,2183563,2274215,2419412,2547763,2647877,2754252,2823215,2900127,2976399,3046355,3120670,3211442,3274069,3410554,3490027,3510297,3518288,3557006,3618344,3721525
Delaware,59094,64273,72674,72674,75432,76739,76739,75432,72749,84399,91532,95763,98014,112216,125015,136621,148794,160930,172528,184139,195608,207271,218902,230002,241000,251966,262999,273642,283834,295331,306866,319456,333573,346373,358262,370312,381605,392852,402110,414241,423830,444501,485103,524460,552778,575002,596493,620188,642820,658893,672760,689555,715698,746993,774990,807385,842097,876414,910913,943638
Florida,0,0,0,0,0,0,0,0,34730,58950,87445,151000,228496,356903,465183,603827,758906,932033,1103140,1190900,1399809,1605216,1806522,2007056,2207148,2414301,2632885,2857738,3084832,3383312,3695356,4012544,4349021,4683692,5048431,5463105,5786345,6166477,6483637,6791418,7123024,7897414,8829159,9906024,10887064,11669842,12686788,13540998,14420151,15111244,15927479,16569216,17374810,18251243,19118282,20006554,20944499,21781128,22610726,23538330
Georgia,82548,82548,102261,162686,238897,298335,340989,413514,516823,619000,753419,851470,938829,1057286,1176987,1302670,1444228,1570415,1700435,1709801,1837353,1974048,2109801,2244963,2375952,2525027,2664229,2821013,2968976,3125811,3283006,3465326,3606215,3752262,3837204,3966314,4123723,4217033,4444578,4588308,4781468,5048475,5346818,5737037,6080265,6401509,6733620,6985270,7196101,7433962,7678698,8008278,8413990,8925375,9363941,9746961,10095643,10429379,10799566,11185395
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154001,191874,255881,333090,438627,483751,531983,577561,591748,622682,660156,696344,762565,838207,900976,964563,1021563,1091539,1153665,1193001,1244898,1273569,1310893,1340629,1379329,1408765,1425763,1406430,1415615,1454295,1492953
